pid,psr,trg,loc,yds,comp,succ,spk,dfb
741683,AS-1600,CC-3950,SR,0,0,0,0,SG-0650
741686,TB-2300,DA-0900,SL,22,1,1,0,
741692,AS-1600,TK-0150,SM,8,1,1,0,
741698,TB-2300,BC-2325,DL,54,1,1,0,
741708,AS-1600,TK-0150,SM,4,1,1,0,
741709,AS-1600,KH-2850,DR,78,1,1,0,
741712,TB-2300,JW-2550,SL,26,1,1,0,
741713,TB-2300,CH-3350,SL,8,1,1,0,
741714,TB-2300,BC-2325,SL,0,0,0,0,
741715,TB-2300,JW-2550,SR,1,1,0,0,
741717,AS-1600,TH-1750,DL,0,0,0,0,
741719,AS-1600,TK-0150,SL,7,1,0,0,
741724,TB-2300,CH-3350,DR,0,0,0,0,
741725,TB-2300,RG-2200,DL,0,0,0,0,
741726,TB-2300,BC-2325,SL,0,0,0,0,
741728,AS-1600,TH-1750,SR,9,1,1,0,
741730,AS-1600,KH-2850,SR,4,1,1,0,
741731,AS-1600,CC-3950,DL,25,1,1,0,
